CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
25.1086,0.0585961,-66.9814,2.75,-6.3272,-65.0558,2.75,8.64951,1.0625,2.74999,-8.07587,0.151013,2.99093,6.99467,
25.1187,0.0593855,-66.9828,2.75,-6.32615,-65.0556,2.75,8.65036,1.06184,2.75,-8.07752,0.153835,3.00115,6.99306,
25.1288,0.060177,-66.9841,2.75,-6.32527,-65.0554,2.75,8.65105,1.06118,2.75,-8.07918,0.156683,3.01175,6.99143,
25.1389,0.0609788,-66.9854,2.74999,-6.32435,-65.0552,2.75,8.65179,1.0605,2.75,-8.08089,0.159765,3.02273,6.98976,
25.149,0.0618038,-66.9869,2.75001,-6.3233,-65.055,2.75,8.65261,1.05984,2.74999,-8.0826,0.163107,3.0341,6.98807,
25.1591,0.0626849,-66.989,2.75002,-6.32202,-65.0548,2.75,8.65359,1.05915,2.74999,-8.08437,0.166591,3.04584,6.98632,
25.1692,0.0636018,-66.9914,2.75002,-6.32072,-65.0546,2.74999,8.65455,1.05846,2.74999,-8.08617,0.170229,3.05794,6.98453,
25.1793,0.064596,-66.994,2.75,-6.31935,-65.0544,2.75,8.65556,1.05774,2.75,-8.08803,0.173928,3.07038,6.98268,
25.1894,0.0656351,-66.9965,2.75002,-6.31805,-65.0541,2.75,8.65651,1.05702,2.74999,-8.08989,0.177472,3.08316,6.98079,
25.1995,0.0667336,-66.999,2.75,-6.31668,-65.0539,2.75,8.65752,1.05627,2.75,-8.09181,0.180898,3.09626,6.97882,
25.2096,0.0678746,-67.0015,2.75001,-6.31535,-65.0536,2.75,8.65849,1.0555,2.74999,-8.09374,0.184291,3.10974,6.97682,
25.2197,0.0690462,-67.004,2.75001,-6.31398,-65.0533,2.75,8.65948,1.0547,2.74999,-8.09572,0.187598,3.1236,6.97473,
25.2298,0.0702405,-67.0061,2.75001,-6.31292,-65.053,2.75,8.66023,1.05389,2.75,-8.09775,0.190951,3.13791,6.97258,
25.2399,0.0714575,-67.0078,2.74999,-6.31188,-65.0527,2.75,8.66101,1.05305,2.75,-8.09982,0.194465,3.15268,6.97037,
25.25,0.0726761,-67.0098,2.75002,-6.31082,-65.0524,2.75,8.66177,1.0522,2.74999,-8.10192,0.198049,3.16797,6.9681,
25.2601,0.073934,-67.0124,2.75001,-6.30948,-65.052,2.74999,8.66273,1.05134,2.75,-8.10409,0.201689,3.1838,6.96574,
25.2702,0.0751984,-67.0161,2.75001,-6.30776,-65.0518,2.74999,8.66393,1.05048,2.74999,-8.10628,0.205476,3.20021,6.96334,
25.2803,0.0765047,-67.0208,2.75001,-6.30594,-65.0514,2.75001,8.66508,1.0496,2.75,-8.10855,0.209349,3.21719,6.96082,
25.2904,0.0778423,-67.0262,2.75002,-6.30393,-65.0511,2.74999,8.66634,1.04873,2.75,-8.11084,0.213338,3.2348,6.95824,
25.3005,0.0792164,-67.0319,2.75003,-6.30195,-65.0508,2.75,8.66753,1.04782,2.74999,-8.11319,0.217599,3.25302,6.95557,
25.3106,0.080634,-67.0378,2.75002,-6.29982,-65.0505,2.75,8.66884,1.04691,2.75,-8.1156,0.222148,3.27187,6.95283,
25.3207,0.0821008,-67.043,2.75001,-6.298,-65.0501,2.75001,8.66992,1.04597,2.75,-8.11805,0.226798,3.2913,6.94999,
25.3308,0.0836102,-67.0469,2.75001,-6.29648,-65.0498,2.75,8.67088,1.04501,2.74999,-8.12053,0.231523,3.31129,6.94709,
25.3409,0.0851885,-67.0501,2.74999,-6.29496,-65.0495,2.75,8.67191,1.04404,2.75,-8.12307,0.236104,3.33182,6.94407,
25.351,0.0868199,-67.0532,2.75003,-6.2935,-65.0491,2.75,8.67292,1.04305,2.74999,-8.12562,0.240244,3.3529,6.94097,
25.3611,0.0885425,-67.0572,2.75,-6.29156,-65.0488,2.75,8.67427,1.04202,2.75,-8.12825,0.24399,3.37457,6.9377,
25.3712,0.0903457,-67.0623,2.75002,-6.28958,-65.0484,2.75,8.67552,1.04094,2.75,-8.13096,0.247539,3.39698,6.9343,
25.3813,0.0922459,-67.0685,2.75002,-6.28734,-65.048,2.75,8.67687,1.0398,2.75,-8.13377,0.251089,3.42023,6.93071,
25.3914,0.0942271,-67.0753,2.75,-6.28507,-65.0476,2.75,8.67817,1.03864,2.75,-8.13666,0.255164,3.44453,6.927,
25.4015,0.0962799,-67.0824,2.75001,-6.28279,-65.0471,2.75,8.67941,1.03743,2.75,-8.13966,0.26016,3.46994,6.92313,
25.4116,0.098372,-67.0897,2.75003,-6.28054,-65.0466,2.75,8.6806,1.03622,2.75,-8.14273,0.266086,3.49649,6.91913,
25.4217,0.100517,-67.0972,2.75005,-6.27813,-65.0461,2.75001,8.68192,1.03496,2.75,-8.1459,0.272761,3.52409,6.91497,
25.4318,0.10268,-67.1052,2.75002,-6.27558,-65.0457,2.75,8.68331,1.03367,2.74999,-8.14915,0.279804,3.55262,6.91064,
25.4419,0.104891,-67.1132,2.75004,-6.27318,-65.0452,2.75001,8.68455,1.0324,2.75,-8.15248,0.286545,3.58196,6.90612,
25.452,0.107142,-67.121,2.75002,-6.27069,-65.0448,2.75,8.68589,1.03113,2.75,-8.15585,0.292508,3.61206,6.90141,
25.4621,0.109456,-67.1283,2.75,-6.26832,-65.0443,2.75001,8.68718,1.02982,2.75,-8.15934,0.297676,3.64294,6.89645,
25.4722,0.111838,-67.1354,2.75004,-6.26601,-65.0439,2.75,8.68844,1.02849,2.75,-8.1629,0.302268,3.67479,6.89125,
25.4823,0.114319,-67.1423,2.75003,-6.26368,-65.0434,2.75,8.68974,1.02705,2.75,-8.16667,0.306807,3.70775,6.8857,
25.4924,0.116889,-67.1493,2.75005,-6.26131,-65.0429,2.75,8.69104,1.02554,2.75,-8.17059,0.312135,3.7421,6.87988,
